Interval=	0.00025 s		
ExcelDateTime=	4.2864586892317864e+004	5/9/2017 14:05:07.496264		
TimeFormat=	StartOfBlock		
DateFormat=			
ChannelTitle=	RTA	RMG	LTA	LMG	Trigger	Vicon	Stim Voltage
Range=	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V
72.41825	0.216	-0.262	-1.306	0.317	4.956	0.244	-1.316
72.4185	0.195	0.103	-1.677	0.225	4.957	0.243	1.309
72.41875	0.156	0.470	-1.793	0.131	4.958	0.243	1.312
72.419	0.111	0.744	-1.450	0.055	-0.034	0.243	-0.001
72.41925	0.077	0.837	-0.583	0.005	0.001	0.244	-0.000
72.4195	0.067	0.717	0.712	-0.028	0.001	0.243	-0.001
72.41975	0.082	0.441	2.206	-0.058	0.001	0.243	-0.001
72.42	0.110	0.149	3.616	-0.094	0.001	0.243	-0.002
72.42025	0.128	0.012	4.683	-0.134	0.001	0.243	-0.002
72.4205	0.112	0.149	5.232	-0.161	0.001	0.244	-0.003
72.42075	0.057	0.555	5.182	-0.160	0.001	0.243	-0.002
72.421	-0.025	1.068	4.538	-0.126	0.000	0.243	-0.002
72.42125	-0.098	1.410	3.363	-0.077	0.001	0.243	-0.003
72.4215	-0.121	1.290	1.768	-0.058	0.000	0.243	-0.002
72.42175	-0.064	0.528	-0.080	-0.117	0.000	0.243	-0.002
72.422	0.077	-0.853	-1.951	-0.291	0.000	0.243	-0.002
72.42225	0.271	-2.598	-3.555	-0.580	0.000	0.243	-0.003
72.4225	0.463	-4.301	-4.585	-0.941	-0.000	0.244	-0.002
72.42275	0.591	-5.532	-4.798	-1.296	0.000	0.243	-0.002
72.423	0.608	-5.989	-4.094	-1.556	0.000	0.244	-0.003
72.42325	0.502	-5.600	-2.573	-1.650	0.000	0.244	-0.002
72.4235	0.295	-4.537	-0.529	-1.552	0.000	0.243	-0.002
72.42375	0.039	-3.136	1.624	-1.285	0.000	0.243	-0.003
72.424	-0.212	-1.771	3.470	-0.909	-0.000	0.243	-0.002
72.42425	-0.413	-0.718	4.709	-0.501	0.001	0.244	-0.002
72.4245	-0.547	-0.083	5.232	-0.127	0.001	0.243	-0.003
72.42475	-0.623	0.195	5.117	0.175	0.001	0.243	-0.003
72.425	-0.665	0.282	4.571	0.399	0.000	0.244	-0.003
72.42525	-0.695	0.348	3.826	0.561	0.001	0.243	-0.003
72.4255	-0.725	0.497	3.061	0.685	0.000	0.243	-0.002
72.42575	-0.747	0.728	2.358	0.787	0.000	0.244	-0.003
72.426	-0.746	0.972	1.719	0.873	0.001	0.243	-0.003
72.42625	-0.702	1.137	1.108	0.936	0.001	0.243	-0.002
72.4265	-0.611	1.170	0.507	0.970	0.000	0.243	-0.003
72.42675	-0.479	1.075	-0.068	0.971	0.000	0.243	-0.003
72.427	-0.329	0.912	-0.579	0.944	0.000	0.243	-0.002
72.42725	-0.186	0.752	-0.998	0.898	0.001	0.243	-0.003
72.4275	-0.071	0.643	-1.336	0.840	0.000	0.243	-0.002
72.42775	0.007	0.594	-1.646	0.773	0.000	0.243	-0.003
72.428	0.049	0.571	-1.988	0.693	0.001	0.243	-0.002
72.42825	0.067	0.533	-2.384	0.593	0.000	0.244	-0.002
72.4285	0.072	0.453	-2.787	0.470	0.000	0.244	-0.003
72.42875	0.073	0.334	-3.082	0.324	0.000	0.243	-0.002
72.429	0.072	0.208	-3.133	0.166	0.001	0.243	-0.002
72.42925	0.067	0.111	-2.849	0.012	0.000	0.243	-0.002
72.4295	0.057	0.066	-2.234	-0.125	-0.000	0.244	-0.002
72.42975	0.041	0.069	-1.404	-0.234	0.000	0.243	-0.003
72.43	0.021	0.095	-0.545	-0.314	0.000	0.243	-0.002
72.43025	0.001	0.113	0.161	-0.368	0.000	0.243	-0.002
72.4305	-0.014	0.105	0.604	-0.400	-0.000	0.244	-0.003
72.43075	-0.026	0.072	0.782	-0.413	0.000	0.243	-0.003
72.431	-0.034	0.034	0.784	-0.406	0.001	0.243	-0.002
72.43125	-0.043	0.018	0.728	-0.374	0.000	0.243	-0.003
72.4315	-0.054	0.041	0.692	-0.315	0.000	0.243	-0.002
72.43175	-0.066	0.101	0.670	-0.231	0.000	0.243	-0.002
72.432	-0.078	0.181	0.587	-0.133	0.001	0.244	-0.002
72.43225	-0.086	0.260	0.352	-0.037	0.000	0.244	-0.002
72.4325	-0.088	0.320	-0.069	0.039	0.001	0.244	-0.003
72.43275	-0.084	0.360	-0.610	0.084	0.000	0.244	-0.002
72.433	-0.075	0.388	-1.107	0.094	0.000	0.243	-0.002
72.43325	-0.066	0.418	-1.364	0.078	0.000	0.243	-0.003
72.4335	-0.058	0.461	-1.240	0.049	0.000	0.244	-0.003
72.43375	-0.053	0.515	-0.720	0.025	0.001	0.243	-0.003
72.434	-0.050	0.570	0.066	0.016	0.001	0.243	-0.002
72.43425	-0.046	0.614	0.889	0.024	-0.000	0.243	-0.003
72.4345	-0.041	0.642	1.510	0.040	0.000	0.243	-0.003
72.43475	-0.034	0.659	1.769	0.054	0.001	0.243	-0.002
72.435	-0.026	0.678	1.637	0.056	0.001	0.244	-0.003
72.43525	-0.018	0.714	1.209	0.042	0.000	0.243	-0.003
72.4355	-0.013	0.774	0.640	0.013	0.001	0.243	-0.002
72.43575	-0.010	0.852	0.074	-0.023	0.000	0.243	-0.003
72.436	-0.008	0.932	-0.414	-0.063	0.000	0.244	-0.002
72.43625	-0.005	0.994	-0.822	-0.106	0.000	0.244	-0.003
72.4365	0.001	1.027	-1.184	-0.157	0.000	0.243	-0.002
