Interval=	0.00025 s
ExcelDateTime=	4.2696564851361203e+004	11/22/2016 13:33:23.157608
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	RMG	Stim
Range=	10.000 V	10.000 V
29.3295	-0.201	0.000
29.32975	0.188	-0.000
29.33	0.687	0.000
29.33025	1.094	0.000
29.3305	1.263	0.000
29.33075	1.207	0.000
29.331	0.972	0.000
29.33125	0.643	0.001
29.3315	0.320	0.000
29.33175	0.068	0.000
29.332	-0.044	0.000
29.33225	0.026	0.000
29.3325	0.254	0.000
29.33275	0.597	0.000
29.333	1.002	0.000
29.33325	1.381	0.000
29.3335	1.638	0.000
29.33375	1.778	0.000
29.334	1.870	0.000
29.33425	1.953	0.000
29.3345	2.038	0.000
29.33475	2.150	0.000
29.335	2.267	0.001
29.33525	2.359	0.001
29.3355	2.467	0.001
29.33575	2.427	0.001
29.336	1.892	0.001
29.33625	0.689	0.001
29.3365	-0.957	4.955
29.33675	-2.271	4.957
29.337	-3.310	0.001
29.33725	-3.747	0.001
29.3375	-3.697	0.000
29.33775	-3.439	0.000
29.338	-3.062	0.001
29.33825	-2.546	0.000
29.3385	-2.013	0.000
29.33875	-1.572	0.001
29.339	-1.298	0.001
29.33925	-1.287	0.000
29.3395	-1.407	0.000
29.33975	-1.442	0.000
29.34	-1.308	0.000
29.34025	-0.944	0.000
29.3405	-0.392	0.000
29.34075	0.009	0.000
29.341	-0.080	0.000
29.34125	-0.778	0.000
29.3415	-1.740	0.001
29.34175	-2.374	0.000
29.342	-2.387	0.000
29.34225	-1.813	0.000
29.3425	-0.752	0.001
29.34275	0.525	0.001
29.343	1.744	0.000
29.34325	2.769	0.000
29.3435	3.529	0.001
29.34375	4.018	0.000
29.344	4.279	0.001
29.34425	4.380	-0.000
29.3445	4.370	0.000
29.34475	4.270	0.000
29.345	4.107	0.000
29.34525	3.906	0.000
29.3455	3.680	0.000
29.34575	3.443	0.000
29.346	3.222	0.000
29.34625	3.020	0.000
29.3465	2.827	0.000
29.34675	2.640	0.000
29.347	2.465	0.000
29.34725	2.305	0.000
29.3475	2.165	0.000
29.34775	2.046	0.000
29.348	1.948	0.000
29.34825	1.868	0.001
29.3485	1.811	0.001
29.34875	1.775	0.000
29.349	1.762	0.001
29.34925	1.771	0.001
29.3495	1.797	0.000
29.34975	1.821	-0.000
29.35	1.777	0.000
29.35025	1.606	0.000
29.3505	1.318	0.000
29.35075	1.052	0.001
29.351	0.890	-0.000
29.35125	0.702	0.000
29.3515	0.319	0.000
29.35175	-0.181	0.000
29.352	-0.603	0.000
29.35225	-0.839	0.000
29.3525	-0.979	0.000
29.35275	-1.166	0.001
29.353	-1.406	0.000
29.35325	-1.762	0.000
29.3535	-2.110	0.000
29.35375	-2.236	0.001
29.354	-2.103	0.000
29.35425	-1.822	0.001
29.3545	-1.437	0.000
29.35475	-0.894	0.001
29.355	-0.172	0.000
29.35525	0.661	0.001
29.3555	1.464	0.000
29.35575	2.129	0.000
29.356	2.608	0.001
29.35625	2.857	0.000
29.3565	2.914	0.000
29.35675	2.873	0.000
29.357	2.813	0.000
29.35725	2.738	0.000
29.3575	2.612	0.000
29.35775	2.447	0.001
29.358	2.282	0.000
29.35825	2.127	0.001
29.3585	1.948	0.001
29.35875	1.677	0.001
29.359	1.286	0.000
29.35925	0.861	0.000
29.3595	0.512	0.000
29.35975	0.225	0.000
29.36	-0.046	0.000
29.36025	-0.384	0.000
29.3605	-0.806	0.000
29.36075	-1.160	0.000
29.361	-1.295	0.000
29.36125	-1.232	-0.000
29.3615	-1.080	4.956
29.36175	-0.676	4.957
29.362	-0.579	0.001
29.36225	-0.545	0.001
29.3625	-0.422	0.000
29.36275	-0.222	0.001
29.363	-0.216	0.001
29.36325	-0.581	0.000
29.3635	-1.292	0.000
29.36375	-2.285	0.001
29.364	-3.241	0.000
29.36425	-3.810	0.000
29.3645	-3.835	0.000
29.36475	-3.410	0.001
29.365	-2.689	0.001
29.36525	-1.903	0.000
29.3655	-1.342	0.000
29.36575	-1.276	0.000
29.366	-1.705	0.000
29.36625	-2.522	0.000
29.3665	-3.455	0.000
29.36675	-4.123	0.000
29.367	-4.229	0.001
29.36725	-3.584	0.001
29.3675	-2.257	0.000
29.36775	-0.592	-0.000
29.368	1.097	0.000
29.36825	2.590	0.000
29.3685	3.759	-0.000
29.36875	4.582	0.001
