Interval=	0.00025 s
ExcelDateTime=	4.2696564859723469e+004	11/22/2016 13:33:23.880108
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	RTA	Stim
Range=	10.000 V	10.000 V
30.02925	-0.810	0.000
30.0295	-0.576	-0.000
30.02975	-0.326	0.001
30.03	-0.056	0.001
30.03025	0.228	0.000
30.0305	0.493	0.000
30.03075	0.719	0.000
30.031	0.915	0.000
30.03125	1.080	0.000
30.0315	1.183	0.000
30.03175	1.201	0.000
30.032	1.163	0.000
30.03225	1.119	-0.000
30.0325	1.075	0.000
30.03275	1.000	0.000
30.033	0.886	0.000
30.03325	0.768	0.000
30.0335	0.692	0.001
30.03375	0.668	0.000
30.034	0.656	0.000
30.03425	0.601	-0.000
30.0345	0.474	0.000
30.03475	0.282	0.000
30.035	0.045	0.000
30.03525	-0.212	0.000
30.0355	-0.428	0.000
30.03575	-0.512	-0.000
30.036	-0.445	0.000
30.03625	-0.354	0.000
30.0365	-0.399	4.955
30.03675	-0.591	4.957
30.037	-0.773	0.001
30.03725	-0.810	0.001
30.0375	-0.720	0.001
30.03775	-0.600	0.000
30.038	-0.478	0.000
30.03825	-0.315	0.000
30.0385	-0.102	0.000
30.03875	0.126	0.000
30.039	0.342	-0.000
30.03925	0.551	0.000
30.0395	0.716	0.000
30.03975	0.714	0.000
30.04	0.423	0.000
30.04025	-0.153	0.000
30.0405	-0.850	0.000
30.04075	-1.457	0.000
30.041	-1.840	0.000
30.04125	-1.963	0.000
30.0415	-1.836	-0.000
30.04175	-1.483	0.000
30.042	-0.967	0.000
30.04225	-0.390	0.000
30.0425	0.166	0.000
30.04275	0.669	0.001
30.043	1.110	0.000
30.04325	1.473	0.000
30.0435	1.744	0.000
30.04375	1.932	0.000
30.044	2.035	0.000
30.04425	2.023	0.000
30.0445	1.877	0.000
30.04475	1.637	0.000
30.045	1.369	0.000
30.04525	1.112	0.000
30.0455	0.875	0.000
30.04575	0.666	0.000
30.046	0.494	0.000
30.04625	0.360	0.000
30.0465	0.261	0.000
30.04675	0.207	-0.000
30.047	0.198	-0.000
30.04725	0.194	0.000
30.0475	0.146	0.000
30.04775	0.044	0.000
30.048	-0.069	0.000
30.04825	-0.148	0.000
30.0485	-0.197	0.000
30.04875	-0.256	0.000
30.049	-0.352	0.000
30.04925	-0.450	0.000
30.0495	-0.471	-0.000
30.04975	-0.366	0.000
30.05	-0.189	0.000
30.05025	-0.064	-0.000
30.0505	-0.083	0.000
30.05075	-0.227	0.000
30.051	-0.410	0.000
30.05125	-0.568	0.000
30.0515	-0.692	0.000
30.05175	-0.780	0.000
30.052	-0.807	0.000
30.05225	-0.742	0.000
30.0525	-0.598	-0.000
30.05275	-0.434	0.000
30.053	-0.321	0.001
30.05325	-0.288	0.000
30.0535	-0.303	0.000
30.05375	-0.298	0.000
30.054	-0.223	0.000
30.05425	-0.097	0.000
30.0545	0.043	0.001
30.05475	0.214	0.000
30.055	0.461	0.000
30.05525	0.732	0.001
30.0555	0.845	0.000
30.05575	0.654	0.000
30.056	0.241	0.000
30.05625	-0.142	0.000
30.0565	-0.303	0.000
30.05675	-0.257	0.000
30.057	-0.119	0.000
30.05725	0.036	0.000
30.0575	0.199	0.000
30.05775	0.358	0.000
30.058	0.476	0.000
30.05825	0.538	-0.000
30.0585	0.569	-0.000
