Interval=	0.00025 s		
ExcelDateTime=	4.2864592740909931e+004	5/9/2017 14:13:32.814618		
TimeFormat=	StartOfBlock		
DateFormat=			
ChannelTitle=	RTA	RMG	LTA	LMG	Trigger	Vicon	Stim Voltage
Range=	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V
140.93175	-0.063	-1.176	-0.020	-0.314	0.000	0.243	-0.002
140.932	-0.089	-1.364	-0.004	-0.392	0.000	0.243	-0.003
140.93225	-0.106	-1.216	0.008	-0.466	0.000	0.243	-0.003
140.9325	-0.113	-0.790	0.027	-0.535	0.000	0.243	-0.003
140.93275	-0.114	-0.232	0.056	-0.587	0.000	0.243	-0.002
140.933	-0.115	0.285	0.095	-0.597	4.956	0.243	-0.916
140.93325	-0.124	0.627	0.135	-0.548	4.957	0.244	-0.917
140.9335	-0.142	0.749	0.167	-0.441	4.957	0.244	0.912
140.93375	-0.166	0.698	0.184	-0.309	4.958	0.244	0.915
140.934	-0.190	0.586	0.189	-0.206	0.001	0.243	-0.001
140.93425	-0.203	0.532	0.194	-0.180	0.001	0.243	-0.002
140.9345	-0.200	0.608	0.214	-0.245	0.001	0.243	-0.002
140.93475	-0.182	0.795	0.256	-0.355	0.001	0.243	-0.003
140.935	-0.156	0.992	0.312	-0.412	0.001	0.244	-0.003
140.93525	-0.134	1.049	0.359	-0.296	0.000	0.243	-0.003
140.9355	-0.128	0.826	0.363	0.081	0.000	0.243	-0.002
140.93575	-0.140	0.257	0.300	0.717	0.000	0.243	-0.002
140.936	-0.163	-0.620	0.166	1.506	0.001	0.243	-0.002
140.93625	-0.185	-1.662	-0.010	2.253	0.001	0.243	-0.003
140.9365	-0.188	-2.668	-0.172	2.734	0.000	0.244	-0.002
140.93675	-0.161	-3.439	-0.257	2.782	0.001	0.243	-0.003
140.937	-0.105	-3.841	-0.213	2.345	0.000	0.244	-0.002
140.93725	-0.028	-3.841	-0.022	1.510	0.001	0.243	-0.003
140.9375	0.053	-3.506	0.287	0.476	0.000	0.243	-0.003
140.93775	0.119	-2.967	0.651	-0.518	0.000	0.243	-0.003
140.938	0.159	-2.368	0.989	-1.276	0.000	0.243	-0.003
140.93825	0.172	-1.817	1.233	-1.703	0.000	0.243	-0.003
140.9385	0.162	-1.363	1.344	-1.819	0.000	0.243	-0.003
140.93875	0.143	-0.995	1.323	-1.732	-0.000	0.243	-0.003
140.939	0.125	-0.670	1.202	-1.577	0.000	0.244	-0.002
140.93925	0.113	-0.347	1.027	-1.458	0.000	0.243	-0.003
140.9395	0.107	-0.008	0.842	-1.415	0.000	0.243	-0.002
140.93975	0.101	0.332	0.671	-1.426	0.001	0.244	-0.002
140.94	0.090	0.639	0.518	-1.434	-0.000	0.244	-0.003
140.94025	0.069	0.873	0.375	-1.389	-0.000	0.243	-0.003
140.9405	0.041	1.011	0.231	-1.271	0.000	0.244	-0.003
140.94075	0.013	1.054	0.082	-1.100	0.000	0.243	-0.003
140.941	-0.010	1.024	-0.064	-0.915	0.000	0.243	-0.003
140.94125	-0.022	0.952	-0.194	-0.757	0.000	0.243	-0.003
140.9415	-0.023	0.869	-0.294	-0.641	-0.000	0.243	-0.003
140.94175	-0.016	0.793	-0.360	-0.558	0.000	0.244	-0.003
140.942	-0.007	0.729	-0.398	-0.482	0.000	0.243	-0.003
140.94225	-0.002	0.673	-0.419	-0.387	0.000	0.244	-0.003
140.9425	-0.002	0.614	-0.436	-0.262	0.000	0.243	-0.002
140.94275	-0.007	0.541	-0.456	-0.115	0.000	0.243	-0.003
140.943	-0.013	0.450	-0.480	0.034	-0.000	0.243	-0.002
140.94325	-0.015	0.345	-0.500	0.164	0.000	0.243	-0.003
140.9435	-0.012	0.241	-0.509	0.266	0.000	0.243	-0.003
140.94375	-0.004	0.158	-0.499	0.342	0.000	0.244	-0.003
140.944	0.006	0.117	-0.474	0.405	0.000	0.243	-0.003
140.94425	0.015	0.126	-0.437	0.466	0.001	0.243	-0.002
140.9445	0.021	0.177	-0.398	0.528	0.000	0.243	-0.002
