Interval=	0.00025 s
ExcelDateTime=	4.2696562165282427e+004	11/22/2016 13:29:31.080401
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	RTA	Stim
Range=	10.000 V	10.000 V
21.9515	-0.077	0.001
21.95175	-0.061	0.000
21.952	-0.040	0.000
21.95225	-0.016	0.000
21.9525	0.008	0.000
21.95275	0.031	0.000
21.953	0.046	0.000
21.95325	0.054	0.000
21.9535	0.062	0.000
21.95375	0.069	0.000
21.954	0.080	0.000
21.95425	0.092	0.000
21.9545	0.098	0.000
21.95475	0.093	0.000
21.955	0.073	0.000
21.95525	0.012	0.000
21.9555	-0.106	0.001
21.95575	-0.251	0.000
21.956	-0.373	0.000
21.95625	-0.453	0.001
21.9565	-0.493	0.000
21.95675	-0.498	0.000
21.957	-0.472	0.000
21.95725	-0.430	0.000
21.9575	-0.377	0.000
21.95775	-0.316	0.000
21.958	-0.257	0.000
21.95825	-0.204	0.000
21.9585	-0.163	0.000
21.95875	-0.136	0.000
21.959	-0.119	0.000
21.95925	-0.105	0.000
21.9595	-0.093	0.000
21.95975	-0.074	-0.000
21.96	-0.043	0.000
21.96025	-0.006	0.001
21.9605	0.027	0.000
21.96075	0.047	0.000
21.961	0.056	0.000
21.96125	0.053	0.001
21.9615	0.045	0.000
21.96175	0.030	0.001
21.962	0.013	0.000
21.96225	-0.004	0.000
21.9625	-0.019	0.001
21.96275	-0.033	0.000
21.963	-0.046	0.001
21.96325	-0.054	0.001
21.9635	-0.058	0.000
21.96375	-0.062	0.001
21.964	-0.072	0.000
21.96425	-0.084	0.000
21.9645	-0.096	0.001
21.96475	-0.103	-0.000
21.965	-0.106	0.000
21.96525	-0.105	0.000
21.9655	-0.103	0.001
21.96575	-0.104	0.000
21.966	-0.109	0.000
21.96625	-0.117	0.000
21.9665	-0.126	0.000
21.96675	-0.133	0.000
21.967	-0.137	0.000
21.96725	-0.140	0.001
21.9675	-0.143	-0.000
21.96775	-0.148	0.000
21.968	-0.156	0.000
21.96825	-0.169	0.000
21.9685	-0.182	0.000
21.96875	-0.195	0.001
21.969	-0.211	-0.000
21.96925	-0.226	0.001
21.9695	-0.229	0.001
21.96975	-0.212	0.001
21.97	-0.167	0.000
21.97025	-0.120	0.000
21.9705	-0.089	0.000
21.97075	-0.077	0.000
21.971	-0.075	0.000
21.97125	-0.075	0.000
21.9715	-0.074	0.001
21.97175	-0.070	0.000
21.972	-0.068	0.000
21.97225	-0.068	0.000
21.9725	-0.069	0.000
21.97275	-0.071	0.000
21.973	-0.072	0.000
21.97325	-0.075	0.000
21.9735	-0.079	0.001
21.97375	-0.084	0.000
21.974	-0.092	1.278
21.97425	-0.286	4.956
21.9745	-0.517	0.001
21.97475	-0.470	0.001
21.975	-0.365	0.000
21.97525	-0.251	0.000
21.9755	-0.159	0.000
21.97575	-0.100	0.001
21.976	-0.078	0.000
21.97625	-0.096	0.000
21.9765	-0.131	0.000
21.97675	-0.157	0.001
21.977	-0.167	0.000
21.97725	-0.164	-0.000
21.9775	-0.150	0.000
21.97775	-0.119	0.001
21.978	-0.081	0.000
21.97825	-0.061	0.000
21.9785	-0.084	0.000
21.97875	-0.147	0.000
21.979	-0.245	0.000
21.97925	-0.377	0.001
21.9795	-0.547	0.000
21.97975	-0.725	0.000
21.98	-0.851	0.000
21.98025	-0.863	0.000
21.9805	-0.776	0.000
21.98075	-0.632	0.000
21.981	-0.466	0.001
21.98125	-0.297	0.000
21.9815	-0.131	0.001
21.98175	0.022	0.000
21.982	0.153	0.001
21.98225	0.255	0.000
21.9825	0.330	0.001
21.98275	0.380	-0.000
21.983	0.397	0.000
21.98325	0.379	0.000
21.9835	0.323	0.001
21.98375	0.225	0.001
21.984	0.099	0.000
21.98425	-0.029	0.000
21.9845	-0.132	0.000
21.98475	-0.197	0.000
21.985	-0.229	0.000
21.98525	-0.240	0.001
21.9855	-0.242	0.001
21.98575	-0.233	0.001
21.986	-0.214	0.000
21.98625	-0.189	0.001
21.9865	-0.160	-0.000
21.98675	-0.131	0.001
21.987	-0.106	0.001
21.98725	-0.086	0.001
21.9875	-0.071	0.000
21.98775	-0.065	0.000
21.988	-0.063	0.000
21.98825	-0.065	0.001
21.9885	-0.064	0.000
21.98875	-0.061	0.000
21.989	-0.052	0.000
21.98925	-0.039	0.000
21.9895	-0.021	0.000
21.98975	0.001	0.001
21.99	0.019	0.000
21.99025	0.031	0.001
21.9905	0.035	0.000
21.99075	0.035	0.000
21.991	0.008	0.000
21.99125	-0.068	0.000
21.9915	-0.238	0.001
21.99175	-0.498	0.001
21.992	-0.775	0.000
21.99225	-1.008	0.000
21.9925	-1.155	0.001
21.99275	-1.197	0.000
21.993	-1.139	0.001
21.99325	-1.013	0.000
21.9935	-0.860	0.001
21.99375	-0.724	0.000
21.994	-0.638	0.001
21.99425	-0.605	0.000
21.9945	-0.600	-0.000
21.99475	-0.594	0.000
21.995	-0.573	0.000
21.99525	-0.537	0.000
21.9955	-0.487	0.000
21.99575	-0.426	0.000
21.996	-0.356	0.000
21.99625	-0.281	0.000
21.9965	-0.204	0.000
21.99675	-0.135	0.001
21.997	-0.082	0.000
21.99725	-0.048	-0.000
21.9975	-0.036	0.000
21.99775	-0.045	0.001
21.998	-0.073	0.001
